objectid,incident_number,call_type,call_time,race,gender,age,stop_type,stop_outcome,veh_state,count_tickets,count_warnings,search,search_type,contraband,viol_dui,arrest
30668,21BU000360,Traffic,2021/01/10 01:31:00+00,Black,Male - M,20.0,V = Vehicle Equipment,5,MA,0,1,0,NS = No search,0,0,none
30676,21BU016720,Traffic,2021/10/05 19:26:00+00,White,Male - M,65.0,M = Moving violation,5,MD,0,1,0,NS = No search,0,0,none
30941,21BU004401,Traffic,2021/04/07 10:49:00+00,White,Male - M,31.0,M = Moving violation,5,MA,0,1,0,NS = No search,0,0,none
30972,21BU017662,Traffic,2021/10/19 00:50:00+00,White,Male - M,21.0,M = Moving violation,5,MA,0,1,0,NS = No search,0,0,none
30995,21BU014800,Traffic,2021/09/09 15:29:00+00,White,Male - M,81.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
31112,21BU008412,Traffic,2021/06/10 09:02:00+00,White,Male - M,25.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
31114,21BU004387,Traffic,2021/04/07 08:34:00+00,White,Male - M,34.0,M = Moving violation,4,VT,1,0,0,NS = No search,0,0,none
31131,21BU001584,Traffic,2021/02/08 08:01:00+00,White,Male - M,30.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
31251,21BU009497,Traffic,2021/06/26 09:34:00+00,White,Male - M,48.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
31344,21BU006301,Traffic,2021/05/11 09:56:00+00,White,Male - M,22.0,M = Moving violation,4,ME,1,0,0,NS = No search,0,0,none
31811,21BU001697,Traffic,2021/02/10 07:47:00+00,White,Male - M,65.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
31857,21BU016072,Traffic,2021/09/26 01:29:00+00,White,Male - M,19.0,M = Moving violation,5,NJ,0,1,0,NS = No search,0,0,none
31869,21BU011451,Traffic,2021/07/24 14:28:00+00,White,Male - M,63.0,M = Moving violation,5,FL,0,1,0,NS = No search,0,0,none
31874,21BU001832,Traffic,2021/02/13 12:12:00+00,White,Male - M,19.0,M = Moving violation,5,NH,0,1,0,NS = No search,0,0,none
31893,21BU003288,Traffic,2021/03/17 08:09:00+00,White,Male - M,23.0,M = Moving violation,4,NH,1,0,0,NS = No search,0,0,none
32014,21BU021113,Traffic,2021/12/21 22:16:00+00,White,Male - M,17.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
32028,21BU002240,Traffic,2021/02/23 10:48:00+00,White,Male - M,24.0,M = Moving violation,5,NH,0,1,0,NS = No search,0,0,none
32060,21BU003846,Traffic,2021/03/27 11:43:00+00,Black,Male - M,22.0,M = Moving violation,5,NH,0,2,0,NS = No search,0,0,none
